team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time_valid,percentage
-243684,Altitude Esports,176521,Tom R Dadswell,4562,111.3821,10,109.399587012987,77,214.37602173412134,8423.768199999999,34.0
-243684,Altitude Esports,388214,Mark D Hutchinson,4121,108.0301,4,109.486278,50,214.20627928551923,5474.3139,14.0
-132790,Reiter Engineering Esports,708185,Denis Robin Wolf,6343,118.7757,7,109.40022542372881,59,214.3747707316254,6454.6133,24.0
-275533,RACAR eSports Team,245148,Leonardo Marques,4931,110.4747,29,109.64872280701755,57,213.8889322448088,6249.9772,100.0
-284108,Magic Arrow,477938,Balazs Turoczy,3010,112.3604,13,110.07247378640776,103,213.06551435110964,11337.464799999998,45.0
-201262,SimTech Motorsport LMDh,316144,Standa Sehnall,4428,112.4162,10,109.80231216216215,74,213.58974853429157,8125.371099999999,34.0
-201262,SimTech Motorsport LMDh,316148,Matej Surhanak,4313,108.4563,9,109.48114949494949,99,214.21631350593285,10838.6338,31.0
-305677,Delta Racing LMDh,394951,Joao Vitor Delgado,2476,119.2831,12,110.89444222222222,45,211.48623657985544,4990.2499,41.0
-145316,Octopus Racing Team LMDH,522535,Martín R. Pérez,3020,126.1605,10,111.01473859649124,57,211.2570685631579,6327.8401,34.0
-233878,DLR - SimLab \\ Orange,722146,Yannick Gerards,2934,122.5392,13,110.2934087912088,91,212.63871069210575,10036.700200000001,45.0
-297671,TR Geekz Energy Simracing LMDh,598737,Samuel Buikema,3506,131.9044,15,111.33099423076922,52,210.656955012787,5789.2117,52.0
-304104,Team Upstate GTP,302971,David Flanagan2,3149,117.0555,3,111.59832105263158,38,210.15233940786035,4240.7362,10.0
