team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time,time_valid,percentage
-243684,,176521,Tom R Dadswell,4481,213.5456,36,206.40385,28,237.72000187787197,7687.6416,5779.3078000000005,35.0
-243684,,388214,Mark D Hutchinson,4056,209.4888,33,207.115904,25,236.902732537623,6913.1304,5177.8976,32.0
-243684,,259215,Bryan Loynes,3064,210.2541,33,207.670268,25,236.27033413179782,6938.3853,5191.7567,32.0
-284108,,477938,Balazs Turoczy,2555,213.2648,44,208.64284848484849,33,235.16896920223544,9383.6512,6885.214,43.0
-284108,,684015,Eran Aviner,2524,212.5214,36,208.9731125,24,234.79730489059926,7650.7704,5015.3547,35.0
-284108,,167281,Coen Gerrits,2589,211.461,22,208.22763333333333,18,235.63790657435956,4652.142,3748.0974,22.0
-302846,,816986,Andrea Lucani,4622,211.5142,46,207.43589142857144,35,236.53729001133598,9729.653199999999,7260.256200000001,45.0
-302846,,454593,Diego Merli,5574,212.1444,33,207.8976851851852,27,236.01188039152092,7000.7652,5613.2375,32.0
-302846,,55357,Luca Morelli,5281,211.6,23,207.89568333333332,18,236.01415297752297,4866.8,3742.1223,23.0
-145316,,366068,Stephane Civeira Lareo,3777,213.5525,58,209.18582608695652,46,234.55854790660436,12386.045,9622.548,57.0
-145316,,522535,Martín R. Pérez,2734,213.148,44,209.7751138888889,36,233.89963995247237,9378.512,7551.904100000001,43.0
-132790,,639407,Nico Schihwetz,2584,213.3446,53,208.7904512195122,41,235.00271838588077,11307.2638,8560.4085,52.0
-132790,,607186,Dominique Renã© Englicht,3439,215.1773,46,209.42299444444444,36,234.2929139169399,9898.1558,7539.2278,45.0
-297570,,577596,Tom Fain,3131,214.0365,52,210.4207588235294,34,233.18195354836524,11129.898,7154.3058,51.0
-297570,,658251,Banik Op,3040,209.6191,23,208.6881125,16,235.1179615446472,4821.2393,3339.0098,23.0
-297570,,636584,Chase Brown3,2532,214.7555,22,211.380225,16,232.12352815690306,4724.621,3382.0836,22.0
-305677,,529361,Higo Oliveira,2910,218.0911,48,212.0870242424242,33,231.34995544807668,10468.372800000001,6998.871799999999,47.0
-305677,,394951,Joao Vitor Delgado,2506,214.059,26,210.9800888888889,18,232.56376404050346,5565.534,3797.6416000000004,25.0
-305677,,359593,Renan Moura Bueno,2339,213.89,22,210.7754722222222,18,232.78953235065703,4705.58,3793.9584999999993,22.0
-233878,,20477,Albert Priem,3387,221.7673,58,209.6278511627907,43,234.06395351301182,12862.5034,9013.9976,57.0
-233878,,722146,Yannick Gerards,3267,213.2622,37,209.64265,28,234.04743075705255,7890.7014,5869.9942,36.0
-304104,,302971,David Flanagan2,3088,268.6769,53,210.8499904761905,42,232.70726026018315,14239.875699999999,8855.699600000002,52.0
-304104,,590492,Timothy Brei,3736,216.1684,27,211.2788210526316,19,232.23493658825893,5836.5468,4014.2976000000003,26.0
-201262,,316148,Matej Surhanak,3986,210.1027,47,206.93444864864864,37,237.11046628543266,9874.8269,7656.5746,46.0
-201262,,316144,Standa Sehnall,4406,229.1601,19,207.26997142857144,14,236.7266385546304,4354.0419,2901.7796000000003,19.0
-275533,,171867,Leandro Mendes,4541,0.0,1,0.0,0,inf,0.0,0.0,1.0
