team_id,team_display_name,cust_id,display_name,oldi_rating,avg_lap,laps_complete,avg_lap_valid,laps_complete_valid,speed,time_valid,percentage
-243684,Altitude Esports,176521,Tom R Dadswell,4562,203.6649,4,206.40385,28,237.72000187787197,5779.3078000000005,100.0
-201262,SimTech Motorsport LMDh,316148,Matej Surhanak,4313,203.1188,2,206.93444864864864,37,237.11046628543266,7656.5746,50.0
-284108,Magic Arrow,477938,Balazs Turoczy,3010,203.6472,3,208.64284848484849,33,235.16896920223544,6885.214,75.0
-275533,RACAR eSports Team,171867,Leandro Mendes,4475,204.6889,4,0.0,0,inf,0.0,100.0
-132790,Reiter Engineering Esports,639407,Nico Schihwetz,2937,204.4828,3,208.7904512195122,41,235.00271838588077,8560.4085,75.0
-302846,EPOCH MOTORSPORT,454593,Diego Merli,5904,213.4092,2,207.8976851851852,27,236.01188039152092,5613.2375,50.0
-145316,Octopus Racing Team LMDH,522535,Martín R. Pérez,3020,207.7036,4,209.7751138888889,36,233.89963995247237,7551.904100000001,100.0
-305677,Delta Racing LMDh,394951,Joao Vitor Delgado,2476,206.7655,3,210.9800888888889,18,232.56376404050346,3797.6416000000004,75.0
-297570,Blue Chip Racing LMDh,577596,Tom Fain,3177,206.9592,4,210.4207588235294,34,233.18195354836524,7154.3058,100.0
-304104,Team Upstate GTP,302971,David Flanagan2,3149,208.3118,3,210.8499904761905,42,232.70726026018315,8855.699600000002,75.0
-233878,DLR - Rotary Industry \\ Orange,20477,Albert Priem,3338,0.0,3,209.6278511627907,43,234.06395351301182,9013.9976,75.0
